DATE,PRECTOTCORR,TS,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVB,ALLSKY_SFC_UVA
2001-06-14,14.67,25.44,1.52,0.29,9.83
2001-06-15,6.6,24.8,1.84,0.35,11.73
2001-06-16,9.07,24.69,1.84,0.34,11.46
2001-06-17,0.04,24.52,1.71,0.32,10.44
2001-06-18,0.0,23.84,2.25,0.41,13.59
2001-06-19,0.1,22.95,2.02,0.38,12.98
2001-06-20,0.53,23.15,2.05,0.38,12.8
2001-06-21,0.02,23.65,2.03,0.38,13.0
2001-06-22,0.0,23.98,2.02,0.38,12.92
2001-06-23,1.33,24.51,1.85,0.35,11.92
2001-06-24,1.05,25.23,1.84,0.35,11.8
2001-06-25,1.54,25.04,1.94,0.37,12.79
2001-06-26,0.56,25.05,1.88,0.36,12.21
2001-06-27,0.02,24.54,2.04,0.38,12.95
2001-06-28,0.0,24.94,1.94,0.36,12.07
2001-06-29,4.44,24.57,2.05,0.38,12.71
2001-06-30,1.18,25.01,2.22,0.41,13.45
2001-07-01,0.0,24.45,2.13,0.41,13.61
2001-07-02,0.0,23.32,2.09,0.4,13.56
2001-07-03,0.0,23.03,2.05,0.38,13.27
2001-07-04,0.0,22.26,2.01,0.38,13.0
2001-07-05,0.0,21.23,2.05,0.39,13.2
2001-07-06,0.0,22.62,1.93,0.37,12.3
2001-07-07,0.01,23.43,2.08,0.39,13.47
2001-07-08,4.38,24.49,1.9,0.36,12.23
2001-07-09,0.9,24.84,1.8,0.34,11.23
2001-07-10,11.28,24.83,1.92,0.36,11.76
2001-07-11,11.48,24.95,2.07,0.39,12.85
2001-07-12,7.94,24.74,2.05,0.39,12.96
2001-07-13,11.89,24.62,1.57,0.3,10.02
2001-07-14,1.25,24.72,2.02,0.38,12.71
2001-07-15,0.17,25.09,1.84,0.35,11.89
2001-07-16,6.47,25.18,1.81,0.34,11.62
2001-07-17,9.88,24.94,2.01,0.38,12.68
2001-07-18,3.39,25.0,1.84,0.35,11.41
2001-07-19,11.84,24.93,1.67,0.32,10.71
2001-07-20,20.14,24.23,1.68,0.32,10.62
2001-07-21,2.31,24.38,1.65,0.32,10.4
2001-07-22,0.43,23.87,1.37,0.27,8.3
2001-07-23,0.03,24.87,2.21,0.41,13.47
2001-07-24,1.12,23.84,1.99,0.38,12.31
2001-07-25,15.68,24.23,1.73,0.33,10.73
2001-07-26,1.47,24.72,2.04,0.38,12.78
2001-07-27,0.01,24.65,2.12,0.41,13.67
2001-07-28,0.0,25.04,2.14,0.41,13.48
2001-07-29,0.0,24.21,2.09,0.4,13.48
2001-07-30,0.95,24.79,1.89,0.36,12.11
2001-07-31,0.05,24.54,2.23,0.42,13.98
2001-08-01,3.18,24.65,2.05,0.39,13.27
2001-08-02,0.72,24.89,2.1,0.4,13.31
2001-08-03,15.69,24.66,1.62,0.31,10.61
2001-08-04,9.45,24.53,1.63,0.31,10.34
2001-08-05,1.3,24.55,2.02,0.38,12.91
2001-08-06,0.04,24.7,2.37,0.45,14.41
2001-08-07,0.0,23.69,2.29,0.44,14.45
2001-08-08,0.16,24.26,1.98,0.38,12.88
2001-08-09,0.33,25.26,2.09,0.4,13.48
2001-08-10,0.02,25.58,1.92,0.37,12.35
2001-08-11,4.01,25.36,2.09,0.4,13.38
2001-08-12,0.42,25.09,2.25,0.43,13.93
2001-08-13,2.89,25.18,2.15,0.41,13.7
2001-08-14,0.93,25.28,2.01,0.38,12.18
2001-08-15,0.01,25.15,2.33,0.45,14.1
2001-08-16,0.0,25.23,2.27,0.43,14.12
2001-08-17,0.0,25.0,2.08,0.4,13.27
2001-08-18,0.0,24.75,2.21,0.42,14.03
2001-08-19,0.0,23.8,2.09,0.41,13.27
2001-08-20,0.0,24.37,2.37,0.45,14.73
2001-08-21,0.84,24.59,2.15,0.41,13.39
2001-08-22,1.53,25.21,2.27,0.43,13.6
2001-08-23,1.03,25.62,2.48,0.47,14.84
2001-08-24,0.11,25.26,2.53,0.47,14.62
2001-08-25,0.0,25.08,2.3,0.44,13.97
2001-08-26,0.0,24.94,2.49,0.47,14.79
2001-08-27,0.0,25.15,2.54,0.48,15.29
2001-08-28,0.11,25.12,2.33,0.44,13.92
2001-08-29,0.38,24.62,2.24,0.42,13.75
2001-08-30,2.85,25.05,2.2,0.41,13.21
2001-08-31,7.43,24.98,2.04,0.38,12.02
2001-09-01,8.05,25.9,2.4,0.45,13.88
2001-09-02,7.29,25.83,2.27,0.43,13.2
2001-09-03,16.04,25.43,1.93,0.37,11.66
2001-09-04,3.97,25.54,2.0,0.38,11.99
2001-09-05,3.51,25.24,1.99,0.38,12.09
2001-09-06,4.7,25.52,2.11,0.4,13.13
2001-09-07,3.8,25.58,2.15,0.41,13.39
2001-09-08,5.75,25.81,2.47,0.46,15.06
2001-09-09,4.78,25.9,2.62,0.49,15.93
2001-09-10,5.17,25.98,2.27,0.43,14.32
2001-09-11,6.41,25.36,2.15,0.41,13.1
2001-09-12,0.48,24.58,2.23,0.42,13.34
2001-09-13,3.9,25.41,2.35,0.45,14.53
2001-09-14,0.14,25.81,2.58,0.48,15.8
2001-09-15,0.0,25.63,2.83,0.52,17.08
2001-09-16,0.0,25.85,2.78,0.52,17.12
2001-09-17,0.16,25.72,2.54,0.48,15.78
2001-09-18,3.24,25.7,2.44,0.46,15.22
2001-09-19,0.61,25.56,2.63,0.49,16.37
2001-09-20,0.14,26.28,2.3,0.44,14.66
2001-09-21,0.29,26.4,2.23,0.42,14.32
