YEAR,MO,DY,PRECTOTCORR,TS,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVB,ALLSKY_SFC_UVA
1983,3,27,7.14,25.71,-999,-999,-999
1983,3,28,8.97,25.95,-999,-999,-999
1983,3,29,15.75,25.51,-999,-999,-999
1983,3,30,0.67,26.08,-999,-999,-999
1983,3,31,12.85,25.69,-999,-999,-999
1983,4,1,3.57,25.85,-999,-999,-999
1983,4,2,18.29,24.79,-999,-999,-999
1983,4,3,11.88,25.6,-999,-999,-999
1983,4,4,18.3,24.81,-999,-999,-999
1983,4,5,3.05,25.75,-999,-999,-999
1983,4,6,2.02,25.62,-999,-999,-999
1983,4,7,6.99,25.03,-999,-999,-999
1983,4,8,0.68,25.47,-999,-999,-999
1983,4,9,0.01,25.87,-999,-999,-999
1983,4,10,0,26.23,-999,-999,-999
1983,4,11,0.17,26.19,-999,-999,-999
1983,4,12,0.02,26.59,-999,-999,-999
1983,4,13,5.17,26.54,-999,-999,-999
1983,4,14,2.94,25.56,-999,-999,-999
1983,4,15,4.3,25.55,-999,-999,-999
1983,4,16,2.7,26.05,-999,-999,-999
1983,4,17,1.93,25.4,-999,-999,-999
1983,4,18,6.12,24.68,-999,-999,-999
1983,4,19,3.88,24.84,-999,-999,-999
1983,4,20,11.46,24.87,-999,-999,-999
1983,4,21,4.52,24.66,-999,-999,-999
1983,4,22,2.86,25.22,-999,-999,-999
1983,4,23,6.13,25.17,-999,-999,-999
1983,4,24,8.74,25.42,-999,-999,-999
1983,4,25,1.07,25.91,-999,-999,-999
1983,4,26,1.59,25.9,-999,-999,-999
1983,4,27,15.22,24.51,-999,-999,-999
1983,4,28,14.79,25.44,-999,-999,-999
1983,4,29,3.62,25.06,-999,-999,-999
1983,4,30,7.03,25.45,-999,-999,-999
1983,5,1,4.86,25.26,-999,-999,-999
1983,5,2,4.1,23.82,-999,-999,-999
1983,5,3,4.46,25.04,-999,-999,-999
1983,5,4,7.71,25.5,-999,-999,-999
1983,5,5,3.05,25.43,-999,-999,-999
1983,5,6,4.33,24.65,-999,-999,-999
1983,5,7,5.39,24.44,-999,-999,-999
1983,5,8,3.41,25.67,-999,-999,-999
1983,5,9,2.02,24.25,-999,-999,-999
1983,5,10,0.37,24.92,-999,-999,-999
1983,5,11,0.87,25.6,-999,-999,-999
1983,5,12,5.39,25.48,-999,-999,-999
1983,5,13,3.13,25.5,-999,-999,-999
1983,5,14,3.68,24.6,-999,-999,-999
1983,5,15,7.77,24.47,-999,-999,-999
1983,5,16,9.67,24.83,-999,-999,-999
1983,5,17,0.85,25.74,-999,-999,-999
1983,5,18,7.78,25.87,-999,-999,-999
1983,5,19,2.75,24.5,-999,-999,-999
1983,5,20,7.59,25.23,-999,-999,-999
1983,5,21,1.56,25.29,-999,-999,-999
1983,5,22,16.82,24.34,-999,-999,-999
1983,5,23,13.29,24.33,-999,-999,-999
1983,5,24,8.24,24.62,-999,-999,-999
1983,5,25,1.37,24.99,-999,-999,-999
1983,5,26,0.26,24.76,-999,-999,-999
1983,5,27,2.3,24.71,-999,-999,-999
1983,5,28,0.59,24.47,-999,-999,-999
1983,5,29,1.45,23.73,-999,-999,-999
1983,5,30,0.26,24.74,-999,-999,-999
1983,5,31,0.08,25.18,-999,-999,-999
1983,6,1,0.06,26.01,-999,-999,-999
1983,6,2,2.21,25.44,-999,-999,-999
1983,6,3,0.48,25.75,-999,-999,-999
1983,6,4,4.12,25.7,-999,-999,-999
1983,6,5,0.46,25.55,-999,-999,-999
1983,6,6,15.78,25.47,-999,-999,-999
1983,6,7,1.55,25.25,-999,-999,-999
1983,6,8,0,24.69,-999,-999,-999
1983,6,9,0.05,24.28,-999,-999,-999
1983,6,10,0.02,24.4,-999,-999,-999
1983,6,11,0.18,25.1,-999,-999,-999
1983,6,12,0.05,24.74,-999,-999,-999
1983,6,13,0.21,24.95,-999,-999,-999
1983,6,14,0.02,25.3,-999,-999,-999
1983,6,15,0,25.6,-999,-999,-999
1983,6,16,0,25.65,-999,-999,-999
1983,6,17,0,25.98,-999,-999,-999
1983,6,18,0,25.58,-999,-999,-999
1983,6,19,0,25.48,-999,-999,-999
1983,6,20,0.01,25.09,-999,-999,-999
1983,6,21,3.55,25.55,-999,-999,-999
1983,6,22,0.32,24.79,-999,-999,-999
1983,6,23,0.01,25.37,-999,-999,-999
1983,6,24,0,24.91,-999,-999,-999
1983,6,25,0,24.91,-999,-999,-999
1983,6,26,0,24.68,-999,-999,-999
1983,6,27,0.9,24.93,-999,-999,-999
1983,6,28,0.05,24.68,-999,-999,-999
1983,6,29,1.52,24.21,-999,-999,-999
1983,6,30,0.14,25.21,-999,-999,-999
1983,7,1,3.04,24.97,-999,-999,-999
1983,7,2,0.33,24.76,-999,-999,-999
1983,7,3,1.1,24.87,-999,-999,-999
1983,7,4,10.35,24.63,-999,-999,-999
1983,7,5,0.13,24.03,-999,-999,-999
1983,7,6,0,23.65,-999,-999,-999
1983,7,7,0,24.12,-999,-999,-999
1983,7,8,0,24.62,-999,-999,-999
1983,7,9,0,23.86,-999,-999,-999
1983,7,10,0,23.9,-999,-999,-999
1983,7,11,0,23.51,-999,-999,-999
1983,7,12,0,23.85,-999,-999,-999
1983,7,13,0,23.91,-999,-999,-999
1983,7,14,0,24.56,-999,-999,-999
1983,7,15,0,25.23,-999,-999,-999
1983,7,16,0.08,25.05,-999,-999,-999
1983,7,17,0.11,24.99,-999,-999,-999
1983,7,18,0.34,24.62,-999,-999,-999
1983,7,19,13.46,23.59,-999,-999,-999
1983,7,20,1.76,24.15,-999,-999,-999
